#FILE:                       ;DTA_Z4A 19-05-23.ngb-dd9   
#FORMAT:                     ;NETZSCH5                   
#IDENTITY:                   ;Mariana                    
#DECIMAL:                    ;POINT                      
#SEPARATOR:                  ;SEMICOLON                  
#MTYPE:                      ;DTA                        
#INSTRUMENT:                 ;NETZSCH DSC 404F3          
#PROJECT:                    ;Mariana                    
#DATE/TIME:                  ;11/06/2023 12:45:57        
#CORR. FILE:                 ;DTA_Branco 19-05-23.ngb-bd9
#LABORATORY:                 ;DSC/DTA                    
#OPERATOR:                   ;Pamela                     
#REMARK:                     ;Mariana                    
#SAMPLE:                     ;Z4A                        
#SAMPLE MASS /mg:            ;122.42                     
#MATERIAL:                   ;B2O3                       
#REFERENCE:                  ;Empty                      
#REFERENCE MASS /mg:         ;0                          
#TYPE OF CRUCIBLE:           ;DTA/TG crucible Al2O3      
#SAMPLE CRUCIBLE MASS /mg:   ;1349.82                    
#REFERENCE CRUCIBLE MASS /mg:;1349.49                    
#CORR. CODE:                 ;020                        
#EXO:                        ;-1                         
#RANGE:                      ;20/10.0(K/min)/1300        
#SEGMENT:                    ;S1/1                       

##Temp./øC;Time/min;DTA/(uV/mg);Sensit./(uV/mW)
  20.54600;0.0000e+000;-2.4474e-002;1.00000
  20.55800;1.0000e-002;-2.4187e-002;1.00000
  20.54700;2.0000e-002;-2.4019e-002;1.00000
  20.54800;3.0000e-002;-2.3981e-002;1.00000
  20.54400;4.0000e-002;-2.3732e-002;1.00000
  20.56200;5.0000e-002;-2.3564e-002;1.00000
  20.57100;6.0000e-002;-2.3395e-002;1.00000
  20.55300;7.0000e-002;-2.3246e-002;1.00000
  20.55300;8.0000e-002;-2.3096e-002;1.00000
  20.58100;9.0000e-002;-2.2922e-002;1.00000
  20.57400;    0.10000;-2.2760e-002;1.00000
  20.55100;    0.11000;-2.2610e-002;1.00000
  20.54600;    0.12000;-2.2461e-002;1.00000
  20.58300;    0.13000;-2.2398e-002;1.00000
  20.57100;    0.14000;-2.2193e-002;1.00000
  20.55600;    0.15000;-2.2018e-002;1.00000
  20.58000;    0.16000;-2.1831e-002;1.00000
  20.57700;    0.17000;-2.1682e-002;1.00000
  20.58300;    0.18000;-2.1520e-002;1.00000
  20.58900;    0.19000;-2.1376e-002;1.00000
  20.58300;    0.20000;-2.1233e-002;1.00000
  20.57900;    0.21000;-2.1052e-002;1.00000
  20.60300;    0.22000;-2.0952e-002;1.00000
  20.58400;    0.23000;-2.0803e-002;1.00000
  20.58400;    0.24000;-2.0678e-002;1.00000
  20.59600;    0.25000;-2.0466e-002;1.00000
  20.61000;    0.26000;-2.0417e-002;1.00000
  20.59900;    0.27000;-2.0279e-002;1.00000
  20.61800;    0.28000;-2.0111e-002;1.00000
  20.60200;    0.29000;-1.9930e-002;1.00000
  20.61800;    0.30000;-1.9781e-002;1.00000
  20.60500;    0.31000;-1.9656e-002;1.00000
  20.60300;    0.32000;-1.9550e-002;1.00000
  20.61200;    0.33000;-1.9413e-002;1.00000
  20.63100;    0.34000;-1.9276e-002;1.00000
  20.64500;    0.35000;-1.9133e-002;1.00000
  20.61700;    0.36000;-1.9045e-002;1.00000
  20.62600;    0.37000;-1.8952e-002;1.00000
  20.64800;    0.38000;-1.8790e-002;1.00000
  20.62400;    0.39000;-1.8678e-002;1.00000
  20.63100;    0.40000;-1.8497e-002;1.00000
  20.65100;    0.41000;-1.8366e-002;1.00000
  20.64100;    0.42000;-1.8229e-002;1.00000
  20.66400;    0.43000;-1.8098e-002;1.00000
  20.65300;    0.44000;-1.8061e-002;1.00000
  20.65500;    0.45000;-1.7961e-002;1.00000
  20.65200;    0.46000;-1.7774e-002;1.00000
  20.65900;    0.47000;-1.7649e-002;1.00000
  20.67800;    0.48000;-1.7625e-002;1.00000
  20.67000;    0.49000;-1.7462e-002;1.00000
  20.69000;    0.50000;-1.7338e-002;1.00000
  20.67100;    0.51000;-1.7176e-002;1.00000
  20.67900;    0.52000;-1.7070e-002;1.00000
  20.67800;    0.53000;-1.6951e-002;1.00000
  20.69800;    0.54000;-1.6920e-002;1.00000
  20.70000;    0.55000;-1.6746e-002;1.00000
  20.69100;    0.56000;-1.6615e-002;1.00000
  20.70200;    0.57000;-1.6496e-002;1.00000
  20.69500;    0.58000;-1.6372e-002;1.00000
  20.71100;    0.59000;-1.6260e-002;1.00000
  20.72900;    0.60000;-1.6185e-002;1.00000
  20.71200;    0.61000;-1.6129e-002;1.00000
  20.73100;    0.62000;-1.5985e-002;1.00000
  20.72300;    0.63000;-1.5830e-002;1.00000
  20.72900;    0.64000;-1.5742e-002;1.00000
  20.75200;    0.65000;-1.5749e-002;1.00000
  20.76100;    0.66000;-1.5630e-002;1.00000
  20.75000;    0.67000;-1.5468e-002;1.00000
  20.75200;    0.68000;-1.5350e-002;1.00000
  20.77000;    0.69000;-1.5213e-002;1.00000
  20.75900;    0.70000;-1.5125e-002;1.00000
  20.77200;    0.71000;-1.5032e-002;1.00000
  20.77400;    0.72000;-1.4963e-002;1.00000
  20.78400;    0.73000;-1.4870e-002;1.00000
  20.79600;    0.74000;-1.4733e-002;1.00000
  20.80800;    0.75000;-1.4621e-002;1.00000
  20.80100;    0.76000;-1.4521e-002;1.00000
  20.81800;    0.77000;-1.4409e-002;1.00000
  20.82000;    0.78000;-1.4321e-002;1.00000
  20.82700;    0.79000;-1.4178e-002;1.00000
  20.83300;    0.80000;-1.4091e-002;1.00000
  20.83900;    0.81000;-1.4016e-002;1.00000
  20.84500;    0.82000;-1.3916e-002;1.00000
  20.86000;    0.83000;-1.3810e-002;1.00000
  20.86900;    0.84000;-1.3648e-002;1.00000
  20.88500;    0.85000;-1.3530e-002;1.00000
  20.88900;    0.86000;-1.3461e-002;1.00000
  20.89800;    0.87000;-1.3393e-002;1.00000
  20.90000;    0.88000;-1.3312e-002;1.00000
  20.92300;    0.89000;-1.3250e-002;1.00000
  20.93200;    0.90000;-1.3119e-002;1.00000
  20.94000;    0.91000;-1.3006e-002;1.00000
  20.95800;    0.92000;-1.2894e-002;1.00000
  20.96400;    0.93000;-1.2813e-002;1.00000
  20.97700;    0.94000;-1.2707e-002;1.00000
  20.99700;    0.95000;-1.2651e-002;1.00000
  21.00800;    0.96000;-1.2601e-002;1.00000
  21.02600;    0.97000;-1.2514e-002;1.00000
  21.03400;    0.98000;-1.2390e-002;1.00000
  21.05200;    0.99000;-1.2327e-002;1.00000
  21.05500;    1.00000;-1.2203e-002;1.00000
  21.05200;    1.01000;-1.2109e-002;1.00000
  21.08300;    1.02000;-1.2016e-002;1.00000
  21.07500;    1.03000;-1.1897e-002;1.00000
  21.11100;    1.04000;-1.1804e-002;1.00000
  21.10900;    1.05000;-1.1667e-002;1.00000
  21.11800;    1.06000;-1.1642e-002;1.00000
  21.15800;    1.07000;-1.1436e-002;1.00000
  21.14500;    1.08000;-1.1324e-002;1.00000
  21.16100;    1.09000;-1.1230e-002;1.00000
  21.17500;    1.10000;-1.1174e-002;1.00000
  21.20700;    1.11000;-1.1068e-002;1.00000
  21.20100;    1.12000;-1.1025e-002;1.00000
  21.23700;    1.13000;-1.0975e-002;1.00000
  21.23500;    1.14000;-1.0869e-002;1.00000
  21.25600;    1.15000;-1.0782e-002;1.00000
  21.26300;    1.16000;-1.0638e-002;1.00000
  21.25700;    1.17000;-1.0526e-002;1.00000
  21.30400;    1.18000;-1.0420e-002;1.00000
  21.31500;    1.19000;-1.0320e-002;1.00000
  21.33000;    1.20000;-1.0227e-002;1.00000
  21.33600;    1.21000;-1.0121e-002;1.00000
  21.34500;    1.22000;-1.0084e-002;1.00000
  21.37000;    1.23000;-1.0028e-002;1.00000
  21.37900;    1.24000;-9.9465e-003;1.00000
  21.39000;    1.25000;-9.8219e-003;1.00000
