#FILE:                       ;DTA Danilo Zeolita.ngb-dd9     
#FORMAT:                     ;NETZSCH5                       
#IDENTITY:                   ;Danilo                         
#DECIMAL:                    ;POINT                          
#SEPARATOR:                  ;SEMICOLON                      
#MTYPE:                      ;DTA                            
#INSTRUMENT:                 ;NETZSCH DSC 404F3              
#PROJECT:                    ;Danilo                         
#DATE/TIME:                  ;10/05/2022 09:40:23            
#CORR. FILE:                 ;DTA_Branco_VidroZeolita.ngb-bd9
#LABORATORY:                 ;DSC/DTA                        
#OPERATOR:                   ;Eguiberto                      
#REMARK:                     ;Danilo                         
#SAMPLE:                     ;Zeolita                        
#SAMPLE MASS /mg:            ;110.10                         
#MATERIAL:                   ;Vidro + Zeolita                
#REFERENCE:                  ;Empty                          
#REFERENCE MASS /mg:         ;0                              
#TYPE OF CRUCIBLE:           ;DTA/TG crucible Al2O3          
#SAMPLE CRUCIBLE MASS /mg:   ;1343.6                         
#REFERENCE CRUCIBLE MASS /mg:;1342.95                        
#CORR. CODE:                 ;020                            
#EXO:                        ;-1                             
#RANGE:                      ;20/10.0(K/min)/1300            
#SEGMENT:                    ;S1/1                           

##Temp./øC;Time/min;DTA/(uV/mg);Sensit./(uV/mW)
  18.46800;0.0000e+000; 3.3955e-004;1.00000
  18.47800;1.0000e-002; 3.5341e-004;1.00000
  18.49100;2.0000e-002; 3.9498e-004;1.00000
  18.48600;3.0000e-002; 3.8805e-004;1.00000
  18.46800;4.0000e-002; 3.8805e-004;1.00000
  18.48100;5.0000e-002; 3.6033e-004;1.00000
  18.46700;6.0000e-002; 3.5341e-004;1.00000
  18.48300;7.0000e-002; 3.4648e-004;1.00000
  18.48000;8.0000e-002; 3.8805e-004;1.00000
  18.46800;9.0000e-002; 4.0884e-004;1.00000
  18.46800;    0.10000; 4.1577e-004;1.00000
  18.46300;    0.11000; 3.9498e-004;1.00000
  18.47300;    0.12000; 3.9498e-004;1.00000
  18.48100;    0.13000; 3.7419e-004;1.00000
  18.45000;    0.14000; 4.1577e-004;1.00000
  18.44500;    0.15000; 4.0191e-004;1.00000
  18.47500;    0.16000; 4.0884e-004;1.00000
  18.47200;    0.17000; 4.2270e-004;1.00000
  18.47900;    0.18000; 4.0884e-004;1.00000
  18.47400;    0.19000; 4.2963e-004;1.00000
  18.47000;    0.20000; 4.2963e-004;1.00000
  18.46800;    0.21000; 4.2963e-004;1.00000
  18.45400;    0.22000; 4.3656e-004;1.00000
  18.46500;    0.23000; 4.3656e-004;1.00000
  18.47900;    0.24000; 4.1577e-004;1.00000
  18.47000;    0.25000; 4.0191e-004;1.00000
  18.47400;    0.26000; 4.0884e-004;1.00000
  18.45600;    0.27000; 3.8805e-004;1.00000
  18.48000;    0.28000; 3.7419e-004;1.00000
  18.47200;    0.29000; 3.7419e-004;1.00000
  18.48000;    0.30000; 3.3955e-004;1.00000
  18.46800;    0.31000; 4.3656e-004;1.00000
  18.48700;    0.32000; 4.4349e-004;1.00000
  18.47900;    0.33000; 3.7419e-004;1.00000
  18.49700;    0.34000; 4.5735e-004;1.00000
  18.48800;    0.35000; 4.2270e-004;1.00000
  18.46600;    0.36000; 4.3656e-004;1.00000
  18.48500;    0.37000; 4.3656e-004;1.00000
  18.49300;    0.38000; 4.1577e-004;1.00000
  18.48900;    0.39000; 3.6033e-004;1.00000
  18.50400;    0.40000; 3.8805e-004;1.00000
  18.49600;    0.41000; 3.6033e-004;1.00000
  18.49000;    0.42000; 3.8112e-004;1.00000
  18.49400;    0.43000; 3.8805e-004;1.00000
  18.50300;    0.44000; 3.7419e-004;1.00000
  18.49700;    0.45000; 4.0884e-004;1.00000
  18.50200;    0.46000; 3.9498e-004;1.00000
  18.51200;    0.47000; 4.3656e-004;1.00000
  18.51700;    0.48000; 4.3656e-004;1.00000
  18.53400;    0.49000; 4.0191e-004;1.00000
  18.52900;    0.50000; 3.8805e-004;1.00000
  18.52300;    0.51000; 4.0191e-004;1.00000
  18.53000;    0.52000; 3.8112e-004;1.00000
  18.53600;    0.53000; 3.8112e-004;1.00000
  18.51600;    0.54000; 3.9498e-004;1.00000
  18.53000;    0.55000; 3.9498e-004;1.00000
  18.53800;    0.56000; 3.6726e-004;1.00000
  18.53400;    0.57000; 4.1577e-004;1.00000
  18.55000;    0.58000; 4.1577e-004;1.00000
  18.54700;    0.59000; 4.0884e-004;1.00000
  18.55600;    0.60000; 4.1577e-004;1.00000
  18.56600;    0.61000; 4.5042e-004;1.00000
  18.56300;    0.62000; 3.8805e-004;1.00000
  18.56600;    0.63000; 4.0884e-004;1.00000
  18.58300;    0.64000; 4.3656e-004;1.00000
  18.59500;    0.65000; 4.5735e-004;1.00000
  18.60600;    0.66000; 4.5042e-004;1.00000
  18.59800;    0.67000; 4.2270e-004;1.00000
  18.60100;    0.68000; 4.2963e-004;1.00000
  18.60500;    0.69000; 4.3656e-004;1.00000
  18.61700;    0.70000; 4.9892e-004;1.00000
  18.63400;    0.71000; 4.6428e-004;1.00000
  18.63300;    0.72000; 4.4349e-004;1.00000
  18.64200;    0.73000; 4.0884e-004;1.00000
  18.64900;    0.74000; 4.1577e-004;1.00000
  18.65100;    0.75000; 4.2963e-004;1.00000
  18.65700;    0.76000; 4.5042e-004;1.00000
  18.66200;    0.77000; 4.7814e-004;1.00000
  18.65600;    0.78000; 4.4349e-004;1.00000
  18.67600;    0.79000; 4.7814e-004;1.00000
  18.68500;    0.80000; 4.7814e-004;1.00000
  18.69500;    0.81000; 4.5042e-004;1.00000
  18.67600;    0.82000; 4.7814e-004;1.00000
  18.70300;    0.83000; 4.7814e-004;1.00000
  18.69200;    0.84000; 4.9200e-004;1.00000
  18.72900;    0.85000; 4.7814e-004;1.00000
  18.71500;    0.86000; 5.0585e-004;1.00000
  18.71500;    0.87000; 5.1971e-004;1.00000
  18.74700;    0.88000; 4.8507e-004;1.00000
  18.75900;    0.89000; 4.9200e-004;1.00000
