#FILE:                       ;DTA Danilo ZSCBA.ngb-dd9     
#FORMAT:                     ;NETZSCH5                       
#IDENTITY:                   ;Danilo                         
#DECIMAL:                    ;POINT                          
#SEPARATOR:                  ;SEMICOLON                      
#MTYPE:                      ;DTA                            
#INSTRUMENT:                 ;NETZSCH DSC 404F3              
#PROJECT:                    ;Danilo                         
#DATE/TIME:                  ;10/05/2022 09:40:23            
#CORR. FILE:                 ;DTA_Branco_VidroZeolita.ngb-bd9
#LABORATORY:                 ;DSC/DTA                        
#OPERATOR:                   ;Eguiberto                      
#REMARK:                     ;Danilo                         
#SAMPLE:                     ;Zeolita                        
#SAMPLE MASS /mg:            ;110.10                         
#MATERIAL:                   ;Vidro + Zeolita                
#REFERENCE:                  ;Empty                          
#REFERENCE MASS /mg:         ;0                              
#TYPE OF CRUCIBLE:           ;DTA/TG crucible Al2O3          
#SAMPLE CRUCIBLE MASS /mg:   ;1343.6                         
#REFERENCE CRUCIBLE MASS /mg:;1342.95                        
#CORR. CODE:                 ;020                            
#EXO:                        ;-1                             
#RANGE:                      ;20/10.0(K/min)/1300            
#SEGMENT:                    ;S1/1                           

##Temp./øC;Time/min;DTA/(uV/mg);Sensit./(uV/mW)
21.20000;0.0000e+000;-3.0402e-002;1.00000
21.20800;1.0000e-002;-3.0024e-002;1.00000
21.19800;2.0000e-002;-2.9838e-002;1.00000
21.20100;3.0000e-002;-2.9591e-002;1.00000
21.21000;4.0000e-002;-2.9356e-002;1.00000
21.20600;5.0000e-002;-2.9164e-002;1.00000
21.21600;6.0000e-002;-2.8846e-002;1.00000
21.21200;7.0000e-002;-2.8681e-002;1.00000
21.21600;8.0000e-002;-2.8473e-002;1.00000
21.21900;9.0000e-002;-2.8298e-002;1.00000
21.23000;0.10000;-2.8024e-002;1.00000
21.24500;0.11000;-2.7799e-002;1.00000
21.25000;0.12000;-2.7591e-002;1.00000
21.23600;0.13000;-2.7344e-002;1.00000
21.24300;0.14000;-2.7141e-002;1.00000
21.24300;0.15000;-2.6917e-002;1.00000
21.23400;0.16000;-2.6763e-002;1.00000
21.26300;0.17000;-2.6522e-002;1.00000
21.24000;0.18000;-2.6325e-002;1.00000
21.24700;0.19000;-2.6078e-002;1.00000
21.23400;0.20000;-2.5853e-002;1.00000
21.25200;0.21000;-2.5727e-002;1.00000
21.24700;0.22000;-2.5524e-002;1.00000
21.25900;0.23000;-2.5283e-002;1.00000
21.25900;0.24000;-2.5097e-002;1.00000
21.27900;0.25000;-2.4916e-002;1.00000
21.27600;0.26000;-2.4724e-002;1.00000
21.27300;0.27000;-2.4461e-002;1.00000
21.28700;0.28000;-2.4297e-002;1.00000
21.28500;0.29000;-2.4099e-002;1.00000
21.27900;0.30000;-2.3908e-002;1.00000
21.28900;0.31000;-2.3754e-002;1.00000
21.28300;0.32000;-2.3524e-002;1.00000
21.30200;0.33000;-2.3354e-002;1.00000
21.29700;0.34000;-2.3217e-002;1.00000
21.30600;0.35000;-2.2998e-002;1.00000
21.31800;0.36000;-2.2784e-002;1.00000
21.31500;0.37000;-2.2620e-002;1.00000
21.31600;0.38000;-2.2461e-002;1.00000
21.31000;0.39000;-2.2220e-002;1.00000
21.32100;0.40000;-2.2088e-002;1.00000
21.35000;0.41000;-2.1907e-002;1.00000
21.34100;0.42000;-2.1743e-002;1.00000
21.34500;0.43000;-2.1534e-002;1.00000
21.35300;0.44000;-2.1359e-002;1.00000
21.34400;0.45000;-2.1140e-002;1.00000
21.34700;0.46000;-2.1052e-002;1.00000
21.35500;0.47000;-2.0921e-002;1.00000
21.36600;0.48000;-2.0674e-002;1.00000
21.36300;0.49000;-2.0542e-002;1.00000
21.37500;0.50000;-2.0307e-002;1.00000
21.36000;0.51000;-2.0219e-002;1.00000
21.38600;0.52000;-2.0049e-002;1.00000
21.38900;0.53000;-1.9857e-002;1.00000
21.39700;0.54000;-1.9644e-002;1.00000
21.39600;0.55000;-1.9528e-002;1.00000
21.40200;0.56000;-1.9413e-002;1.00000
21.41800;0.57000;-1.9238e-002;1.00000
21.42100;0.58000;-1.9073e-002;1.00000
21.42600;0.59000;-1.8865e-002;1.00000
21.41300;0.60000;-1.8772e-002;1.00000
21.43100;0.61000;-1.8575e-002;1.00000
21.43600;0.62000;-1.8498e-002;1.00000
21.42800;0.63000;-1.8235e-002;1.00000
21.45400;0.64000;-1.8158e-002;1.00000
21.46700;0.65000;-1.7988e-002;1.00000
21.46600;0.66000;-1.7818e-002;1.00000
21.48400;0.67000;-1.7648e-002;1.00000
