#FILE:                       ;DTA_4AS_01-06-23.ngb-dd9       
#FORMAT:                     ;NETZSCH5                       
#IDENTITY:                   ;Mariana                        
#DECIMAL:                    ;POINT                          
#SEPARATOR:                  ;SEMICOLON                      
#MTYPE:                      ;DTA                            
#INSTRUMENT:                 ;NETZSCH DSC 404F3              
#PROJECT:                    ;Mariana                        
#DATE/TIME:                  ;01/06/2023 15:04:49            
#CORR. FILE:                 ;Branco_Mariana_01-06-23.ngb-bd9
#LABORATORY:                 ;DSC/DTA                        
#OPERATOR:                   ;Pamela                         
#REMARK:                     ;Mariana                        
#SAMPLE:                     ;4AS                            
#SAMPLE MASS /mg:            ;204.87                         
#MATERIAL:                   ;B2O3                           
#REFERENCE:                  ;Empty                          
#REFERENCE MASS /mg:         ;0                              
#TYPE OF CRUCIBLE:           ;DTA/TG crucible Al2O3          
#SAMPLE CRUCIBLE MASS /mg:   ;1339.11                        
#REFERENCE CRUCIBLE MASS /mg:;1349.29                        
#CORR. CODE:                 ;020                            
#EXO:                        ;-1                             
#RANGE:                      ;20/10.0(K/min)/1300            
#SEGMENT:                    ;S1/1                           

##Temp./øC;Time/min;DTA/(uV/mg);Sensit./(uV/mW)
  18.80400;0.0000e+000; 1.2289e-004;1.00000
  18.81500;1.0000e-002; 1.2289e-004;1.00000
  18.81100;2.0000e-002; 1.5641e-004;1.00000
  18.83100;3.0000e-002; 1.2662e-004;1.00000
  18.80800;4.0000e-002; 1.3406e-004;1.00000
  18.82000;5.0000e-002; 1.3779e-004;1.00000
  18.82300;6.0000e-002; 1.4151e-004;1.00000
  18.80000;7.0000e-002; 1.2662e-004;1.00000
  18.81400;8.0000e-002; 1.2662e-004;1.00000
  18.82100;9.0000e-002; 1.2289e-004;1.00000
  18.81500;    0.10000; 1.3034e-004;1.00000
  18.81300;    0.11000; 1.1172e-004;1.00000
  18.79800;    0.12000; 8.9376e-005;1.00000
  18.81000;    0.13000; 9.6824e-005;1.00000
  18.81200;    0.14000; 1.1917e-004;1.00000
  18.81100;    0.15000; 1.4524e-004;1.00000
  18.81700;    0.16000; 1.3406e-004;1.00000
  18.80900;    0.17000; 1.4524e-004;1.00000
  18.81100;    0.18000; 1.2289e-004;1.00000
  18.81700;    0.19000; 1.3406e-004;1.00000
  18.82600;    0.20000; 1.2662e-004;1.00000
  18.80900;    0.21000; 1.3034e-004;1.00000
  18.82600;    0.22000; 1.2289e-004;1.00000
  18.80900;    0.23000; 1.5641e-004;1.00000
  18.80400;    0.24000; 1.4896e-004;1.00000
  18.82800;    0.25000; 1.4524e-004;1.00000
  18.82900;    0.26000; 1.3779e-004;1.00000
  18.84300;    0.27000; 1.4524e-004;1.00000
  18.81800;    0.28000; 1.5641e-004;1.00000
  18.82400;    0.29000; 1.4896e-004;1.00000
  18.83200;    0.30000; 1.3034e-004;1.00000
  18.83200;    0.31000; 1.1172e-004;1.00000
  18.81800;    0.32000; 9.6824e-005;1.00000
  18.84700;    0.33000; 1.0055e-004;1.00000
  18.82900;    0.34000; 1.1917e-004;1.00000
  18.85400;    0.35000; 1.4524e-004;1.00000
  18.84400;    0.36000; 1.1544e-004;1.00000
  18.83400;    0.37000; 1.1917e-004;1.00000
  18.84700;    0.38000; 1.0800e-004;1.00000
  18.84600;    0.39000; 1.0427e-004;1.00000
  18.84600;    0.40000; 1.6758e-004;1.00000
  18.84600;    0.41000; 1.5268e-004;1.00000
  18.84000;    0.42000; 1.6386e-004;1.00000
  18.84900;    0.43000; 1.6758e-004;1.00000
  18.84600;    0.44000; 1.9737e-004;1.00000
  18.86200;    0.45000; 1.9365e-004;1.00000
  18.84200;    0.46000; 1.6386e-004;1.00000
  18.83300;    0.47000; 1.6013e-004;1.00000
  18.85000;    0.48000; 1.6013e-004;1.00000
  18.86100;    0.49000; 1.8248e-004;1.00000
  18.86000;    0.50000; 1.7503e-004;1.00000
  18.87100;    0.51000; 1.6013e-004;1.00000
  18.87100;    0.52000; 1.7503e-004;1.00000
  18.87700;    0.53000; 1.7875e-004;1.00000
  18.89600;    0.54000; 1.7130e-004;1.00000
  18.89300;    0.55000; 1.7130e-004;1.00000
  18.90200;    0.56000; 1.8620e-004;1.00000
  18.91700;    0.57000; 2.0110e-004;1.00000
  18.92400;    0.58000; 1.9365e-004;1.00000
  18.91600;    0.59000; 1.7503e-004;1.00000
  18.91000;    0.60000; 1.8992e-004;1.00000
  18.91100;    0.61000; 1.8248e-004;1.00000
  18.92200;    0.62000; 1.9365e-004;1.00000
  18.94100;    0.63000; 2.2717e-004;1.00000
  18.92200;    0.64000; 2.1972e-004;1.00000
  18.94300;    0.65000; 2.2717e-004;1.00000
  18.95800;    0.66000; 2.3089e-004;1.00000
  18.96300;    0.67000; 2.4206e-004;1.00000
  18.96900;    0.68000; 2.3461e-004;1.00000
  18.96900;    0.69000; 2.4951e-004;1.00000
  18.97200;    0.70000; 2.6441e-004;1.00000
  18.98600;    0.71000; 2.7185e-004;1.00000
  18.97500;    0.72000; 2.4579e-004;1.00000
  18.97700;    0.73000; 2.4951e-004;1.00000
  18.99500;    0.74000; 2.7185e-004;1.00000
  18.99200;    0.75000; 3.0165e-004;1.00000
  19.00300;    0.76000; 2.9792e-004;1.00000
  19.00500;    0.77000; 3.2027e-004;1.00000
  19.01400;    0.78000; 3.1654e-004;1.00000
  19.03300;    0.79000; 3.0537e-004;1.00000
  19.05000;    0.80000; 3.2027e-004;1.00000
  19.05300;    0.81000; 3.1282e-004;1.00000
  19.05600;    0.82000; 3.5006e-004;1.00000
  19.06200;    0.83000; 3.6495e-004;1.00000
  19.07600;    0.84000; 3.9102e-004;1.00000
  19.08600;    0.85000; 3.9475e-004;1.00000
  19.10100;    0.86000; 4.0592e-004;1.00000
