#FILE:                       ;DTA-MARIANA-5AS.ngb-dd9        
#FORMAT:                     ;NETZSCH5                       
#IDENTITY:                   ;Mariana                        
#DECIMAL:                    ;POINT                          
#SEPARATOR:                  ;SEMICOLON                      
#MTYPE:                      ;DTA                            
#INSTRUMENT:                 ;NETZSCH DSC 404F3              
#PROJECT:                    ;Mariana                        
#DATE/TIME:                  ;02/06/2023 09:16:10            
#CORR. FILE:                 ;Branco_Mariana_01-06-23.ngb-bd9
#LABORATORY:                 ;DSC/DTA                        
#OPERATOR:                   ;Pamela                         
#REMARK:                     ;Mariana                        
#SAMPLE:                     ;5AS                            
#SAMPLE MASS /mg:            ;286.9                          
#MATERIAL:                   ;B2O3                           
#REFERENCE:                  ;Empty                          
#REFERENCE MASS /mg:         ;0                              
#TYPE OF CRUCIBLE:           ;DTA/TG crucible Al2O3          
#SAMPLE CRUCIBLE MASS /mg:   ;1351.2                         
#REFERENCE CRUCIBLE MASS /mg:;1349.29                        
#CORR. CODE:                 ;020                            
#EXO:                        ;-1                             
#RANGE:                      ;20/10.0(K/min)/1300            
#SEGMENT:                    ;S1/1                           

##Temp./øC;Time/min;DTA/(uV/mg);Sensit./(uV/mW)
  17.47500;0.0000e+000;-2.7869e-003;1.00000
  17.47300;1.0000e-002;-2.7630e-003;1.00000
  17.47500;2.0000e-002;-2.7497e-003;1.00000
  17.46400;3.0000e-002;-2.7390e-003;1.00000
  17.45400;4.0000e-002;-2.7231e-003;1.00000
  17.46100;5.0000e-002;-2.7071e-003;1.00000
  17.43900;6.0000e-002;-2.6885e-003;1.00000
  17.45800;7.0000e-002;-2.6965e-003;1.00000
  17.44700;8.0000e-002;-2.6725e-003;1.00000
  17.46400;9.0000e-002;-2.6566e-003;1.00000
  17.47200;    0.10000;-2.6406e-003;1.00000
  17.48500;    0.11000;-2.6273e-003;1.00000
  17.46500;    0.12000;-2.6220e-003;1.00000
  17.46500;    0.13000;-2.6034e-003;1.00000
  17.45300;    0.14000;-2.5848e-003;1.00000
  17.46200;    0.15000;-2.5688e-003;1.00000
  17.45700;    0.16000;-2.5688e-003;1.00000
  17.45800;    0.17000;-2.5449e-003;1.00000
  17.46000;    0.18000;-2.5343e-003;1.00000
  17.44200;    0.19000;-2.5343e-003;1.00000
  17.46400;    0.20000;-2.5369e-003;1.00000
  17.45100;    0.21000;-2.5210e-003;1.00000
  17.45500;    0.22000;-2.5103e-003;1.00000
  17.45100;    0.23000;-2.4970e-003;1.00000
  17.45500;    0.24000;-2.4758e-003;1.00000
  17.46100;    0.25000;-2.4731e-003;1.00000
  17.45900;    0.26000;-2.4704e-003;1.00000
  17.44300;    0.27000;-2.4545e-003;1.00000
  17.46100;    0.28000;-2.4226e-003;1.00000
  17.46500;    0.29000;-2.4119e-003;1.00000
  17.46500;    0.30000;-2.4279e-003;1.00000
  17.47100;    0.31000;-2.4306e-003;1.00000
  17.46500;    0.32000;-2.4173e-003;1.00000
  17.47300;    0.33000;-2.3960e-003;1.00000
  17.46200;    0.34000;-2.3827e-003;1.00000
  17.46800;    0.35000;-2.3747e-003;1.00000
  17.46400;    0.36000;-2.3960e-003;1.00000
  17.47300;    0.37000;-2.3747e-003;1.00000
  17.47200;    0.38000;-2.3588e-003;1.00000
  17.46900;    0.39000;-2.3561e-003;1.00000
  17.44900;    0.40000;-2.3268e-003;1.00000
  17.47200;    0.41000;-2.3109e-003;1.00000
  17.45900;    0.42000;-2.2949e-003;1.00000
  17.45900;    0.43000;-2.2763e-003;1.00000
  17.45600;    0.44000;-2.2444e-003;1.00000
  17.47000;    0.45000;-2.2285e-003;1.00000
  17.46700;    0.46000;-2.2125e-003;1.00000
  17.48200;    0.47000;-2.2019e-003;1.00000
  17.46800;    0.48000;-2.2019e-003;1.00000
  17.47300;    0.49000;-2.1806e-003;1.00000
  17.49500;    0.50000;-2.1779e-003;1.00000
  17.49700;    0.51000;-2.1859e-003;1.00000
  17.50100;    0.52000;-2.1859e-003;1.00000
  17.49700;    0.53000;-2.1806e-003;1.00000
  17.49600;    0.54000;-2.1567e-003;1.00000
  17.51800;    0.55000;-2.1088e-003;1.00000
  17.49000;    0.56000;-2.1274e-003;1.00000
  17.49600;    0.57000;-2.0955e-003;1.00000
  17.49900;    0.58000;-2.1061e-003;1.00000
  17.50600;    0.59000;-2.0955e-003;1.00000
  17.51200;    0.60000;-2.0902e-003;1.00000
  17.51900;    0.61000;-2.0875e-003;1.00000
  17.53000;    0.62000;-2.0583e-003;1.00000
  17.53300;    0.63000;-2.0290e-003;1.00000
  17.51300;    0.64000;-2.0290e-003;1.00000
  17.53000;    0.65000;-2.0077e-003;1.00000
  17.54900;    0.66000;-1.9865e-003;1.00000
  17.55000;    0.67000;-1.9625e-003;1.00000
  17.56400;    0.68000;-1.9466e-003;1.00000
  17.56600;    0.69000;-1.9253e-003;1.00000
  17.57100;    0.70000;-1.9014e-003;1.00000
  17.58500;    0.71000;-1.8960e-003;1.00000
  17.57800;    0.72000;-1.9067e-003;1.00000
  17.57900;    0.73000;-1.9014e-003;1.00000
