#FILE:                       ;Dta_Danilo_ZeoACs 1.ngb-dd9       
#FORMAT:                     ;NETZSCH5                          
#IDENTITY:                   ;Danilo                            
#DECIMAL:                    ;POINT                             
#SEPARATOR:                  ;SEMICOLON                         
#MTYPE:                      ;DTA                               
#INSTRUMENT:                 ;NETZSCH DSC 404F3                 
#PROJECT:                    ;Danilo                            
#DATE/TIME:                  ;17/05/2022 17:07:11               
#CORR. FILE:                 ;DTA Danilo Branco 04-07-22.ngb-bd9
#LABORATORY:                 ;DSC/DTA                           
#OPERATOR:                   ;Eguiberto                         
#REMARK:                     ;Danilo                            
#SAMPLE:                     ;ZeoACs 1                          
#SAMPLE MASS /mg:            ;145.9                             
#MATERIAL:                   ;Vidro + Zeolita                   
#REFERENCE:                  ;Empty                             
#REFERENCE MASS /mg:         ;0                                 
#TYPE OF CRUCIBLE:           ;DTA/TG crucible Al2O3             
#SAMPLE CRUCIBLE MASS /mg:   ;1352.0                            
#REFERENCE CRUCIBLE MASS /mg:;1342.9                            
#CORR. CODE:                 ;020                               
#EXO:                        ;-1                                
#RANGE:                      ;20/10.0(K/min)/1300               
#SEGMENT:                    ;S1/1                              

##Temp./øC;Time/min;DTA/(uV/mg);Sensit./(uV/mW)
  21.98200;0.0000e+000; 4.5233e-003;1.00000
  22.00300;1.0000e-002; 4.5076e-003;1.00000
  22.01100;2.0000e-002; 4.5076e-003;1.00000
  22.00900;3.0000e-002; 4.4814e-003;1.00000
  21.98600;4.0000e-002; 4.4762e-003;1.00000
  22.00700;5.0000e-002; 4.5128e-003;1.00000
  21.99900;6.0000e-002; 4.4553e-003;1.00000
  22.01800;7.0000e-002; 4.4867e-003;1.00000
  21.99000;8.0000e-002; 4.4396e-003;1.00000
  21.99300;9.0000e-002; 4.3716e-003;1.00000
  22.00400;    0.10000; 4.4030e-003;1.00000
  22.00800;    0.11000; 4.3925e-003;1.00000
  21.99600;    0.12000; 4.3141e-003;1.00000
  22.02000;    0.13000; 4.3141e-003;1.00000
  22.00900;    0.14000; 4.3141e-003;1.00000
  21.99200;    0.15000; 4.2932e-003;1.00000
  22.00400;    0.16000; 4.3507e-003;1.00000
  21.98200;    0.17000; 4.2879e-003;1.00000
  21.99700;    0.18000; 4.2566e-003;1.00000
  22.00600;    0.19000; 4.2670e-003;1.00000
  21.99300;    0.20000; 4.2409e-003;1.00000
  22.00500;    0.21000; 4.2461e-003;1.00000
  22.01600;    0.22000; 4.2304e-003;1.00000
