24/05/2023 18:38:10
User name: Gabs
Comments: Zeólitas Mariana
Number	time(s)	mass(g)	Relative_mass(%)	Sample_T(C)	PV(C)	SV(C)
1.0	0.0	0.1316	100.0	68.5	112.0	64.0
2.0	0.0	0.1316	100.0	68.25	112.0	64.0
8.0	12.0	0.1316	100.0	68.0	111.0	64.0
13.0	22.0	0.1316	100.0	67.75	111.0	64.0
18.0	32.0	0.1316	100.0	67.5	110.0	64.0
21.0	38.0	0.1315	99.92401	67.25	110.0	64.0
27.0	50.0	0.1315	99.92401	67.0	110.0	64.0
32.0	60.0	0.1314	99.84802	66.75	110.0	64.0
36.0	68.0	0.1314	99.84802	66.5	108.0	64.0
42.0	80.0	0.1314	99.84802	66.25	108.0	64.0
46.0	88.0	0.1314	99.84802	66.0	108.0	64.0
51.0	98.0	0.1314	99.84802	65.75	107.0	64.0
55.0	106.0	0.1314	99.84802	65.5	107.0	64.0
61.0	118.0	0.1313	99.77204	65.25	107.0	64.0
65.0	126.0	0.1313	99.77204	65.0	107.0	64.0
70.0	136.0	0.1313	99.77204	64.75	106.0	64.0
74.0	144.0	0.1313	99.77204	64.5	106.0	64.0
80.0	156.0	0.1313	99.77204	64.25	106.0	64.0
83.0	162.0	0.1312	99.69605	64.0	104.0	64.0
87.0	170.0	0.1312	99.69605	63.75	104.0	64.0
91.0	178.0	0.1312	99.69605	63.5	104.0	64.0
97.0	190.0	0.1312	99.69605	63.25	104.0	64.0
101.0	198.0	0.1312	99.69605	63.0	104.0	64.0
106.0	208.0	0.1312	99.69605	62.75	103.0	64.0
111.0	218.0	0.1311	99.62006	62.5	103.0	64.0
116.0	228.0	0.1311	99.62006	62.25	103.0	64.0
120.0	236.0	0.1311	99.62006	62.0	102.0	64.0
126.0	248.0	0.1311	99.62006	61.75	102.0	64.0
130.0	256.0	0.131	99.54407	61.5	102.0	64.0
136.0	268.0	0.131	99.54407	61.25	102.0	64.0
142.0	280.0	0.1309	99.46809	61.0	100.0	64.0
147.0	290.0	0.1311	99.62006	60.75	100.0	64.0
153.0	302.0	0.131	99.54407	60.5	100.0	64.0
158.0	312.0	0.1311	99.62006	60.25	100.0	64.0
164.0	324.0	0.131	99.54407	60.0	100.0	64.0
167.0	330.0	0.131	99.54407	59.75	99.0	64.0
174.0	344.0	0.131	99.54407	59.5	99.0	64.0
179.0	354.0	0.131	99.54407	59.25	99.0	64.0
185.0	366.0	0.131	99.54407	59.0	99.0	64.0
190.0	376.0	0.131	99.54407	58.75	98.0	64.0
195.0	386.0	0.131	99.54407	58.5	98.0	64.0
204.0	404.0	0.131	99.54407	58.25	98.0	64.0
209.0	414.0	0.131	99.54407	58.0	98.0	64.0
216.0	428.0	0.131	99.54407	57.75	98.0	64.0
221.0	438.0	0.131	99.54407	57.5	96.0	64.0
227.0	450.0	0.131	99.54407	57.25	96.0	64.0
233.0	462.0	0.131	99.54407	57.0	96.0	64.0
239.0	474.0	0.131	99.54407	56.75	96.0	64.0
246.0	488.0	0.131	99.54407	56.5	96.0	64.0
251.0	498.0	0.131	99.54407	56.25	95.0	64.0
257.0	510.0	0.131	99.54407	56.0	95.0	64.0
263.0	522.0	0.131	99.54407	55.75	95.0	64.0
267.0	530.0	0.131	99.54407	55.5	95.0	64.0
273.0	542.0	0.131	99.54407	55.25	95.0	64.0
282.0	560.0	0.131	99.54407	55.0	95.0	66.0
287.0	570.0	0.1309	99.46809	54.75	93.0	66.0
294.0	584.0	0.131	99.54407	54.5	93.0	67.0
302.0	600.0	0.131	99.54407	54.25	93.0	69.0
308.0	612.0	0.131	99.54407	54.0	92.0	69.0
314.0	624.0	0.131	99.54407	53.75	92.0	70.0
322.0	640.0	0.131	99.54407	53.5	92.0	72.0
331.0	658.0	0.1309	99.46809	53.25	92.0	73.0
337.0	670.0	0.131	99.54407	53.0	92.0	74.0
345.0	686.0	0.1311	99.62006	52.75	91.0	75.0
353.0	702.0	0.131	99.54407	52.5	91.0	76.0
359.0	714.0	0.131	99.54407	52.25	91.0	77.0
368.0	732.0	0.131	99.54407	52.0	91.0	78.0
377.0	750.0	0.131	99.54407	51.75	91.0	80.0
381.0	758.0	0.131	99.54407	51.5	89.0	80.0
390.0	776.0	0.131	99.54407	51.25	89.0	82.0
398.0	792.0	0.1311	99.62006	51.0	89.0	83.0
407.0	810.0	0.131	99.54407	50.75	89.0	84.0
414.0	824.0	0.131	99.54407	50.5	89.0	85.0
421.0	838.0	0.131	99.54407	50.25	89.0	86.0
626.0	1248.0	0.1302	98.93617	68.75	119.0	117.0
628.0	1252.0	0.1302	98.93617	69.0	119.0	117.0
629.0	1254.0	0.1302	98.93617	69.25	119.0	118.0
631.0	1258.0	0.1303	99.01216	69.5	119.0	118.0
633.0	1262.0	0.1303	99.01216	69.75	119.0	118.0
636.0	1268.0	0.1302	98.93617	70.0	120.0	119.0
639.0	1274.0	0.1302	98.93617	70.25	120.0	119.0
642.0	1280.0	0.1302	98.93617	70.5	120.0	119.0
645.0	1286.0	0.1302	98.93617	70.75	120.0	120.0
648.0	1292.0	0.1302	98.93617	71.0	120.0	120.0
650.0	1296.0	0.1301	98.86018	71.25	120.0	121.0
652.0	1300.0	0.1301	98.86018	71.5	122.0	121.0
653.0	1302.0	0.1301	98.86018	71.75	122.0	121.0
655.0	1306.0	0.1301	98.86018	72.0	122.0	121.0
657.0	1310.0	0.1301	98.86018	72.25	123.0	122.0
659.0	1314.0	0.1301	98.86018	72.5	123.0	122.0
661.0	1318.0	0.1301	98.86018	72.75	123.0	122.0
663.0	1322.0	0.1301	98.86018	73.0	123.0	123.0
