23/05/2023 21:00:42
User name: Gabs
Comments: Zeólitas - Mariana
Number	time(s)	mass(g)	Relative_mass(%)	Sample_T(C)	PV(C)	SV(C)
1.0	0.0	0.1647	100.0	23.5	60.0	60.0
2.0	0.001	0.1647	100.0	23.75	60.0	60.0
3.0	2.001	0.1646	99.93928	24.25	60.0	60.0
4.0	4.001	0.1644	99.81785	25.0	62.0	60.0
5.0	6.001	0.164	99.57498	26.0	63.0	60.0
6.0	8.001	0.1637	99.39284	27.0	66.0	60.0
7.0	10.001	0.1636	99.33212	28.5	69.0	61.0
8.0	12.001	0.1634	99.21069	30.0	74.0	61.0
9.0	14.001	0.1633	99.14997	31.5	76.0	61.0
10.0	16.001	0.1632	99.08925	32.75	81.0	61.0
11.0	18.001	0.1632	99.08925	34.25	84.0	61.0
12.0	20.001	0.1632	99.08925	35.5	88.0	61.0
13.0	22.001	0.1633	99.14997	36.75	91.0	62.0
14.0	24.001	0.1633	99.14997	38.0	93.0	62.0
15.0	26.001	0.1633	99.14997	39.25	96.0	62.0
16.0	28.001	0.1633	99.14997	40.25	99.0	62.0
17.0	30.001	0.1633	99.14997	41.25	102.0	62.0
18.0	32.001	0.1633	99.14997	42.5	103.0	62.0
19.0	34.001	0.1633	99.14997	43.25	106.0	63.0
20.0	36.001	0.1633	99.14997	44.25	107.0	63.0
21.0	38.001	0.1633	99.14997	45.0	108.0	63.0
22.0	40.001	0.1633	99.14997	45.75	111.0	63.0
23.0	42.001	0.1633	99.14997	46.75	111.0	63.0
24.0	44.001	0.1633	99.14997	47.5	114.0	63.0
25.0	46.001	0.1633	99.14997	48.0	114.0	63.0
26.0	48.001	0.1633	99.14997	48.75	115.0	63.0
27.0	50.001	0.1633	99.14997	49.5	116.0	63.0
28.0	52.001	0.1633	99.14997	50.25	118.0	63.0
29.0	54.005	0.1633	99.14997	51.0	118.0	63.0
30.0	56.009	0.1633	99.14997	51.5	119.0	63.0
31.0	58.009	0.1632	99.08925	52.0	120.0	63.0
32.0	60.009	0.1632	99.08925	52.5	120.0	63.0
33.0	62.009	0.1632	99.08925	53.25	122.0	63.0
34.0	64.009	0.1632	99.08925	53.75	122.0	63.0
35.0	66.009	0.1632	99.08925	54.25	122.0	63.0
36.0	68.009	0.1632	99.08925	54.75	123.0	63.0
37.0	70.009	0.1632	99.08925	55.25	123.0	63.0
38.0	72.009	0.1631	99.02854	55.75	123.0	63.0
39.0	74.009	0.1629	98.9071	56.25	124.0	63.0
40.0	76.009	0.1629	98.9071	56.75	124.0	63.0
41.0	78.009	0.1629	98.9071	57.0	124.0	63.0
42.0	80.009	0.163	98.96782	57.5	124.0	63.0
43.0	82.009	0.1631	99.02854	58.0	125.0	63.0
44.0	84.009	0.1631	99.02854	58.25	125.0	63.0
45.0	86.009	0.1632	99.08925	58.75	125.0	63.0
46.0	88.009	0.1632	99.08925	59.25	125.0	63.0
47.0	90.009	0.1632	99.08925	59.5	125.0	63.0
48.0	92.009	0.1632	99.08925	60.0	125.0	63.0
49.0	94.009	0.1632	99.08925	60.25	127.0	63.0
50.0	96.009	0.1632	99.08925	60.5	127.0	63.0
51.0	98.009	0.1631	99.02854	61.0	127.0	63.0
52.0	100.009	0.1631	99.02854	61.25	127.0	63.0
53.0	102.009	0.163	98.96782	61.5	127.0	63.0
54.0	104.009	0.163	98.96782	61.75	127.0	63.0
55.0	106.009	0.163	98.96782	62.25	127.0	63.0
56.0	108.009	0.163	98.96782	62.5	127.0	63.0
