05/07/2023 14:07:08
User name: Gabs
Comments: programa 3
Time (min)	Weight (mg)	Deriv. Weight (%/°C)	Relative Mass (%)	Temperature (°C)	Balance Purge Flow (mL/min)	Sample Purge Flow (mL/min)
0.001533333	6.59986	0.05500293	100.0	22.98286	40.00727	60.01988
0.004166667	6.599355	0.05500595	99.99234832254018	22.98452	39.98429	59.98079
0.0125	6.597953	0.0550021	99.97110544769131	22.9824	39.99786	60.0254
0.02083334	6.597381	0.05500098	99.96243859718238	22.98179	40.01387	59.9902
0.02916666	6.597785	0.05500338	99.96855993915023	22.9831	39.99745	59.96098
0.0375	6.598489	0.05500918	99.97922683208432	22.98628	39.99262	60.03576
0.04583334	6.599276	0.05501929	99.9911513274524	22.99182	39.99942	59.9914
0.05416668	6.599643	0.05502551	99.99671205146777	22.99522	39.98537	60.00457
0.0625	6.598796	0.0550354	99.98387844590644	23.00059	40.03673	59.98472
0.07083332	6.5971	0.05504734	99.95818093111068	23.00708	39.97226	60.0167
0.07916666	6.596343	0.05505542	99.94671099083921	23.01145	39.98654	59.97982
0.0875	6.597162	0.05507415	99.95912034497701	23.02154	39.9989	60.02182
0.09583332	6.598286	0.0550923	99.97615100926383	23.03126	40.01156	60.02846
0.1041666	6.598536	0.05511094	99.97993896840237	23.0412	39.99969	59.97309
0.1125	6.598163	0.0551361	99.97428733336767	23.05453	39.99038	59.98377
0.1208333	6.59737	0.05530166	99.96227192698028	23.06722	40.03125	60.01316
0.1291666	6.59627	0.0553074	99.94560490677074	23.08122	39.99136	60.00043
0.1375	6.59552	0.05531355	99.93424102935516	23.09611	40.01769	60.0106
0.1458333	6.596184	0.0553205	99.9443018488271	23.11282	39.98195	59.96028
0.1541667	6.597394	0.05532761	99.96263557105758	23.12978	39.99978	60.01287
0.1625	6.597447	0.05549561	99.96343861839495	23.15108	39.99036	60.0083
0.1708334	6.596387	0.05547813	99.94737767164759	23.17205	39.99839	59.9963
0.1791666	6.595344	0.05546098	99.93157430612165	23.19238	40.0162	60.01396
0.1875	6.594809	0.05544106	99.9234680735652	23.2157	39.99553	59.97358
0.1958334	6.594662	0.05551076	99.92124075359175	23.23769	40.02446	60.00579
0.2041667	6.595242	0.05548095	99.93002881879313	23.26611	39.96522	60.03101
0.2125	6.596332	0.05545282	99.94654432063712	23.29251	40.01587	59.9706
0.2208333	6.596634	0.0554312	99.95112017527646	23.31994	40.00183	60.03305
0.2291667	6.595372	0.05541649	99.93199855754517	23.34789	39.96953	59.98868
0.2375	6.594016	0.05539988	99.9114526671778	23.37898	40.02992	60.00318
0.2458334	6.593782	0.05535745	99.90790713742413	23.41076	39.99495	59.99172
0.2541666	6.59434	0.05536148	99.91636186222132	23.44543	39.98491	60.00988
0.2625	6.594844	0.05534477	99.9239983878446	23.47943	39.99128	60.0012
0.2708334	6.595278	0.0553772	99.93057428490908	23.5141	40.01462	59.98814
0.2791667	6.59522	0.05541373	99.92969547838895	23.55248	39.97856	59.99434
0.2875	6.59429	0.0555126	99.91560427039362	23.58974	40.02754	59.98926
0.2958333	6.592981	0.05556443	99.8957705163443	23.626	39.99124	59.99262
0.3041667	6.592718	0.055745	99.89178558333056	23.66692	40.00802	60.01122
0.3125	6.593702	0.0557591	99.90669499049982	23.70719	40.01455	60.00918
0.3208333	6.594562	0.05590518	99.91972556993633	23.75196	39.97124	59.98752
0.3291667	6.594399	0.05586361	99.91725582057802	23.79582	40.00408	60.02692
0.3375	6.593745	0.05589459	99.90734651947163	23.84115	39.97162	59.99643
0.3458333	6.593024	0.05584406	99.89642204531611	23.88751	40.04356	60.00033
0.3541666	6.59219	0.05582369	99.88378541363	23.93396	39.9924	59.97405
0.3625	6.591934	0.05580523	99.87990654347215	23.98458	39.98284	59.99129
0.3708334	6.592811	0.0558394	99.8931947041301	24.03514	40.02206	60.01512
0.3791666	6.59381	0.05590855	99.90833138884764	24.08594	39.97876	60.00488
0.3875	6.59357	0.05594639	99.90469494807466	24.13455	40.00862	60.0028
0.3958334	6.592371	0.0560754	99.88652789604629	24.18789	40.01288	60.01242
0.4041666	6.59154	0.05624335	99.87393671986983	24.24203	39.98646	59.99863
0.4125	6.591388	0.05625134	99.8716336407136	24.29668	40.01187	59.98589
0.4208333	6.591472	0.0563631	99.87290639498416	24.35011	39.98477	60.0031
0.4291667	6.591922	0.05639843	99.87972472143349	24.40618	40.00616	60.0036
0.4375	6.592495	0.05635244	99.888406723779	24.46279	39.99588	60.00101
0.4458333	6.592242	0.05634794	99.8845733091308	24.52328	40.0168	60.00794
0.4541667	6.590907	0.05637214	99.86434560733106	24.58334	40.00385	59.9668
0.4625	6.589813	0.05642062	99.84776949814088	24.6417	39.97423	60.02758
0.4708334	6.589889	0.05653313	99.848921037719	24.70423	39.99985	59.98237
0.4791666	6.590592	0.05668021	99.85957277881653	24.76735	40.01361	60.02368
0.4875	6.590944	0.05682246	99.86490622528358	24.82866	39.99345	59.99105
0.4958334	6.590928	0.05681584	99.86466379589871	24.89327	39.98785	59.99575
0.5041666	6.59055	0.05690612	99.85893640168126	24.95547	40.00726	60.01264
0.5125	6.589629	0.05695854	99.84498156021493	25.02084	40.00418	59.96996
0.5208332	6.588586	0.05699209	99.82917819468898	25.08762	40.00543	60.0193
0.5291666	6.588589	0.05705948	99.82922365019864	25.15443	39.9859	60.00105
0.5375	6.589458	0.0571157	99.84239059616417	25.22216	40.01748	59.9943
0.5458334	6.589878	0.05728418	99.84875436751689	25.29137	39.98794	59.9787
0.5541668	6.589319	0.05746658	99.84028449088315	25.35968	40.01654	60.01738
0.5625	6.588425	0.05761025	99.82673874900378	25.42814	39.9816	60.00584
0.5708332	6.58776	0.0576931	99.8166627776953	25.49777	40.02399	59.99446
0.5791666	6.587256	0.05775018	99.80902625207202	25.56889	39.99444	59.98618
0.5875	6.587168	0.05774678	99.80769289045526	25.64027	39.9975	60.0163
0.5958334	6.587761	0.05783416	99.81667792953185	25.71043	40.00324	60.00447
0.6041668	6.588213	0.05795722	99.8235265596543	25.78374	40.00442	59.98957
0.6125	6.587608	0.05812266	99.81435969853906	25.85767	39.96597	59.99926
0.6208334	6.586345	0.05830593	99.79522292897121	25.93002	40.01354	60.02818
0.6291666	6.585639	0.05844765	99.78452573236402	26.00228	39.99578	59.99162
0.6375	6.585718	0.05851228	99.7857227274518	26.07735	39.98229	59.99313
0.6458332	6.585926	0.05855141	99.78887430945505	26.15512	40.01505	59.98613
0.6541666	6.586108	0.05856075	99.7916319437079	26.22865	39.98985	60.01322
0.6625	6.586238	0.05866314	99.79360168245994	26.30484	40.02124	60.00481
0.6708334	6.585679	0.05879116	99.78513180582618	26.3832	39.99568	59.9975
0.6791668	6.584478	0.0589332	99.7669344501247	26.45861	40.00783	60.00257
0.6875	6.583658	0.05907258	99.75450994415034	26.53576	39.99594	60.00977
0.6958332	6.583829	0.05918336	99.75710090820108	26.61182	39.99688	59.99766
0.7041666	6.58431	0.05925521	99.76438894158362	26.69026	39.97504	59.9757
0.7125	6.584294	0.05932521	99.76414651219875	26.77024	40.02043	60.01598
0.7208334	6.583828	0.05944058	99.75708575636453	26.84823	39.9877	59.98596
0.7291668	6.583145	0.05960305	99.74673705199808	26.928	40.02585	60.01104
0.7375	6.58226	0.0597698	99.73332767664769	27.0079	40.01509	59.98934
0.7458334	6.581595	0.05990974	99.72325170533921	27.08568	39.98022	59.99614
0.7541666	6.581711	0.06002246	99.72500931837949	27.16508	39.99109	59.99768
0.7625	6.582207	0.06011355	99.73252462931032	27.24746	40.016	60.02594
0.7708332	6.582202	0.06019747	99.73244887012754	27.32577	39.9942	59.98364
0.7791666	6.581442	0.06031664	99.72093347434642	27.40451	40.0018	59.99598
0.7875	6.580512	0.0604834	99.7068422663511	27.488	39.99109	60.00868
0.7958334	6.579892	0.0606523	99.69744812768757	27.56848	40.01535	60.01484
0.8041668	6.579605	0.06077301	99.69309955059653	27.6522	39.99351	59.9811
0.8125	6.57962	0.06085478	99.69332682814485	27.73093	39.99813	60.01217
0.8208332	6.57984	0.06093902	99.69666023218676	27.81201	39.99662	59.96122
0.8291666	6.579789	0.06103601	99.69588748852249	27.89684	39.9979	60.01946
0.8375	6.578938	0.0611605	99.68299327561493	27.97827	40.0069	60.01822
0.8458334	6.577874	0.06100682	99.66687172152137	28.0587	40.01616	59.98384
0.8541668	6.577406	0.06135006	99.65978066201404	28.14196	40.00348	60.02063
0.8625	6.577508	0.06158222	99.66132614934257	28.2246	39.96096	60.00111
0.8708332	6.577712	0.06199668	99.6644171239996	28.30879	40.04094	59.97406
0.8791668	6.577664	0.06217459	99.66368983584502	28.39117	39.97903	60.01505
0.8875	6.577304	0.06262175	99.65823517468553	28.473	40.01329	60.00444
0.8958332	6.576509	0.06300095	99.64618946462501	28.55706	39.99444	59.98914
0.9041666	6.575476	0.063317	99.63053761746463	28.63984	39.9902	60.02387
0.9125	6.574994	0.06383856	99.62323443224554	28.7251	39.99404	59.98797
0.9208334	6.575228	0.06410509	99.6267799619992	28.8088	40.00181	60.00844
0.9291668	6.57554	0.06435586	99.63150733500409	28.89181	39.98877	59.99321
0.9375	6.575294	0.06458771	99.62777998321177	28.97653	40.01857	59.98261
0.9458332	6.574618	0.06511054	99.6175373417012	29.05581	40.00356	60.00034
0.9541666	6.573837	0.06541245	99.60570375735244	29.14029	39.98783	60.02424
0.9625	6.57308	0.0656023	99.59423381708098	29.2231	40.02654	59.98842
0.9708334	6.572694	0.066034	99.58838520817109	29.30784	39.9716	59.99434
0.9791668	6.572843	0.0663228	99.59064283181765	29.39148	39.9852	59.99897
0.9875	6.573087	0.06663894	99.59433987993685	29.47564	40.01181	60.01672
0.9958332	6.572778	0.06675898	99.58965796244162	29.56015	40.00269	59.99524
1.004167	6.571897	0.06714257	99.57630919443746	29.64304	40.01735	59.98796
1.0125	6.57107	0.06752216	99.56377862560721	29.72848	39.99756	60.00976
1.020833	6.57057	0.06783855	99.55620270733017	29.81184	39.97769	60.00956
1.029167	6.57036	0.06811444	99.55302082165379	29.89376	39.9576	59.98006
1.0375	6.57035	0.06824731	99.55286930328826	29.9781	40.052	60.02097
1.045834	6.570316	0.06840026	99.55235414084542	30.0612	40.00463	59.9857
1.054167	6.56987	0.0686875	99.54559642174229	30.14772	40.00712	59.99382
1.0625	6.568886	0.06916768	99.53068701457303	30.23162	40.00221	60.00552
1.070833	6.567969	0.06938589	99.51679278045292	30.3116	40.00969	59.99137
1.079166	6.567636	0.06953116	99.5117472188804	30.39606	39.97341	60.01602
1.0875	6.56772	0.06968662	99.51301997315095	30.47965	40.00746	60.00756
1.095833	6.567697	0.06987855	99.51267148091021	30.56499	40.01617	59.96543
1.104166	6.56743	0.07029682	99.50862594055026	30.65039	39.98059	60.03503
1.1125	6.566858	0.07055551	99.49995909004132	30.73046	40.02198	60.01169
1.120833	6.566036	0.07073725	99.48750428039384	30.81443	39.98938	59.96422
1.129167	6.565198	0.07093859	99.47480704136147	30.89814	39.98505	59.99668
1.1375	6.564884	0.07108782	99.4700493646835	30.9825	40.01712	60.00472
1.145834	6.565088	0.07131757	99.47314033934053	31.06712	40.00519	60.00191
1.154167	6.565161	0.07157282	99.47424642340899	31.14984	39.9912	60.01591
1.1625	6.564722	0.07190722	99.46759476716173	31.23289	39.98944	59.99741
1.170834	6.563968	0.07209572	99.45617028239994	31.3154	40.0073	59.99508
1.179167	6.563287	0.0722285	99.44585188170659	31.39854	39.98464	60.01526
1.1875	6.562702	0.07235724	99.43698805732242	31.48072	40.01744	59.9886
1.195833	6.5624	0.07255425	99.4324122026831	31.5648	40.00588	60.0067
1.204166	6.562442	0.0727807	99.43304857981836	31.64939	39.97131	59.96895
1.2125	6.56241	0.07296075	99.43256372104862	31.72992	40.03927	60.03118
