08/02/2023 12:57:15
User name: Mateus
Comments: 
Number	time(s)	mass(g)	Relative_mass(%)	Sample_T(C)	PV(C)	SV(C)
1.0	0.0	0.2412	100.0	27.75	66.0	66.0
2.0	0.0	0.2412	100.0	28.0	66.0	66.0
3.0	2.0	0.2411	99.95854	28.25	66.0	66.0
4.0	4.0	0.2409	99.87562	28.75	68.0	66.0
5.0	6.0	0.2407	99.7927	29.25	69.0	66.0
6.0	8.0	0.2405	99.70978	30.0	71.0	66.0
7.0	10.0	0.2404	99.66833	31.0	74.0	67.0
8.0	12.0	0.2403	99.62687	32.25	78.0	67.0
9.0	14.0	0.2402	99.58541	33.5	81.0	67.0
10.0	16.0	0.2402	99.58541	34.75	85.0	67.0
11.0	18.0	0.2401	99.54395	36.25	89.0	67.0
12.0	20.0	0.2401	99.54395	37.25	92.0	67.0
13.0	22.0	0.2401	99.54395	38.5	96.0	68.0
14.0	24.0	0.2401	99.54395	39.75	99.0	68.0
15.0	26.0	0.2401	99.54395	41.0	102.0	68.0
16.0	28.0	0.2401	99.54395	42.25	104.0	68.0
17.0	30.0	0.2401	99.54395	43.25	107.0	68.0
18.0	32.0	0.2401	99.54395	44.25	110.0	68.0
19.0	34.0	0.2401	99.54395	45.25	111.0	68.0
20.0	36.0	0.2401	99.54395	46.5	114.0	68.0
21.0	38.0	0.2401	99.54395	47.5	115.0	68.0
22.0	40.0	0.2401	99.54395	48.25	118.0	68.0
23.0	42.0	0.2401	99.54395	49.0	119.0	68.0
24.0	44.0	0.2401	99.54395	50.0	120.0	68.0
25.0	46.0	0.24	99.50249	50.75	122.0	68.0
26.0	48.0	0.24	99.50249	51.5	123.0	68.0
27.0	50.0	0.2401	99.54395	52.25	124.0	68.0
28.0	52.0	0.2401	99.54395	53.0	125.0	68.0
29.0	54.0	0.2401	99.54395	53.75	125.0	68.0
30.0	56.0	0.2401	99.54395	54.5	127.0	68.0
31.0	58.0	0.2401	99.54395	55.25	128.0	68.0
32.0	60.0	0.2401	99.54395	55.75	128.0	68.0
33.0	62.0	0.2401	99.54395	56.25	129.0	68.0
34.0	64.0	0.2401	99.54395	57.0	129.0	68.0
35.0	66.0	0.2401	99.54395	57.75	131.0	68.0
36.0	68.0	0.2401	99.54395	58.25	131.0	68.0
37.0	70.0	0.24	99.50249	59.0	131.0	68.0
38.0	72.0	0.24	99.50249	59.5	132.0	68.0
39.0	74.0	0.2399	99.46103	60.0	132.0	68.0
40.0	76.0	0.2399	99.46103	60.5	132.0	68.0
41.0	78.0	0.2399	99.46103	61.0	133.0	68.0
42.0	80.0	0.2398	99.41957	61.5	133.0	68.0
43.0	82.0	0.2398	99.41957	62.0	133.0	68.0
44.0	84.0	0.2398	99.41957	62.5	134.0	68.0
45.0	86.0	0.2397	99.37811	63.0	134.0	68.0
46.0	88.0	0.2397	99.37811	63.5	134.0	68.0
47.0	90.0	0.2397	99.37811	64.0	134.0	68.0
48.0	92.0	0.2397	99.37811	64.5	134.0	68.0
49.0	94.0	0.2397	99.37811	64.75	134.0	68.0
50.0	96.0	0.2398	99.41957	65.25	134.0	68.0
51.0	98.0	0.2398	99.41957	65.5	136.0	68.0
52.0	100.0	0.2398	99.41957	66.0	136.0	68.0
53.0	102.0	0.2397	99.37811	66.25	136.0	68.0
54.0	104.0	0.2397	99.37811	66.75	136.0	68.0
55.0	106.001	0.2397	99.37811	67.0	136.0	68.0
56.0	108.001	0.2396	99.33665	67.5	136.0	68.0
57.0	110.001	0.2396	99.33665	67.75	136.0	68.0
58.0	112.001	0.2396	99.33665	68.25	136.0	68.0
59.0	114.001	0.2396	99.33665	68.5	136.0	68.0
60.0	116.001	0.2395	99.29519	68.75	136.0	68.0
61.0	118.001	0.2395	99.29519	69.25	136.0	68.0
62.0	120.001	0.2395	99.29519	69.5	136.0	68.0
63.0	122.001	0.2395	99.29519	69.75	136.0	68.0
64.0	124.001	0.2394	99.25373	70.0	136.0	68.0
65.0	126.001	0.2394	99.25373	70.25	136.0	68.0
66.0	128.001	0.2393	99.21227	70.5	136.0	68.0
67.0	130.001	0.2393	99.21227	71.0	136.0	68.0
68.0	132.001	0.2393	99.21227	71.25	136.0	68.0
69.0	134.001	0.2393	99.21227	71.5	136.0	68.0
70.0	136.001	0.2393	99.21227	71.75	136.0	68.0
71.0	138.001	0.2393	99.21227	72.0	136.0	68.0
73.0	142.001	0.2393	99.21227	72.25	136.0	68.0
74.0	144.001	0.2393	99.21227	72.5	136.0	68.0
75.0	146.001	0.2392	99.17081	72.75	136.0	68.0
76.0	148.001	0.2392	99.17081	73.0	136.0	68.0
77.0	150.001	0.2392	99.17081	73.25	136.0	68.0
79.0	154.001	0.2391	99.12935	73.75	136.0	68.0
81.0	158.001	0.2391	99.12935	74.0	136.0	68.0
82.0	160.001	0.2391	99.12935	74.25	134.0	68.0
84.0	164.001	0.239	99.08789	74.5	134.0	68.0
86.0	168.001	0.239	99.08789	74.75	134.0	68.0
87.0	170.001	0.239	99.08789	75.0	134.0	68.0
88.0	172.001	0.239	99.08789	75.25	134.0	68.0
90.0	176.001	0.239	99.08789	75.5	134.0	68.0
92.0	180.001	0.239	99.08789	75.75	134.0	68.0
94.0	184.001	0.239	99.08789	76.0	134.0	68.0
96.0	188.001	0.2389	99.04643	76.25	133.0	68.0
98.0	192.001	0.2388	99.00498	76.5	133.0	68.0
