06/07/2023 14:43:51
User name: Gabs
Comments: Programa 3
Number	time(s)	mass(g)	Relative_mass(%)	Sample_T(C)	PV(C)	SV(C)
1.0	0.0	0.1509	100.0	30.0	65.0	65.0
3.0	2.0	0.1508	99.93373	30.25	65.0	65.0
5.0	6.0	0.1505	99.73492	30.5	66.0	65.0
6.0	8.0	0.1505	99.73492	30.75	68.0	66.0
7.0	10.0	0.1504	99.66865	31.0	68.0	66.0
9.0	14.0	0.1503	99.60239	31.5	71.0	66.0
10.0	16.0	0.1503	99.60239	31.75	71.0	66.0
11.0	18.0	0.1503	99.60239	32.0	72.0	66.0
12.0	20.0	0.1503	99.60239	32.25	74.0	67.0
13.0	22.0	0.1503	99.60239	32.5	75.0	67.0
14.0	24.0	0.1503	99.60239	32.75	75.0	67.0
15.0	26.0	0.1503	99.60239	33.25	76.0	67.0
16.0	28.0	0.1503	99.60239	33.5	76.0	67.0
17.0	30.0	0.1503	99.60239	33.75	78.0	67.0
18.0	32.0	0.1503	99.60239	34.0	78.0	68.0
19.0	34.0	0.1503	99.60239	34.25	79.0	68.0
20.0	36.0	0.1502	99.53612	34.5	79.0	68.0
22.0	40.0	0.1502	99.53612	34.75	81.0	68.0
23.0	42.0	0.1503	99.60239	35.0	81.0	68.0
24.0	44.0	0.1503	99.60239	35.25	82.0	69.0
25.0	46.0	0.1503	99.60239	35.5	82.0	69.0
26.0	48.0	0.1503	99.60239	35.75	82.0	69.0
27.0	50.0	0.1503	99.60239	36.0	82.0	69.0
29.0	54.0	0.1502	99.53612	36.25	84.0	69.0
31.0	58.0	0.1502	99.53612	36.5	84.0	70.0
32.0	60.0	0.1502	99.53612	36.75	84.0	70.0
33.0	62.0	0.1502	99.53612	37.0	84.0	70.0
35.0	66.0	0.1502	99.53612	37.25	84.0	70.0
36.0	68.0	0.1502	99.53612	37.5	84.0	71.0
38.0	72.0	0.1502	99.53612	37.75	85.0	71.0
40.0	76.0	0.1502	99.53612	38.0	85.0	71.0
41.0	78.0	0.1502	99.53612	38.25	85.0	71.0
43.0	82.0	0.1502	99.53612	38.5	85.0	72.0
44.0	84.0	0.1502	99.53612	38.75	85.0	72.0
47.0	90.0	0.1502	99.53612	39.0	85.0	72.0
49.0	94.0	0.1503	99.60239	39.25	85.0	73.0
50.0	96.0	0.1503	99.60239	39.5	85.0	73.0
52.0	100.0	0.1503	99.60239	39.75	85.0	73.0
55.0	106.0	0.1503	99.60239	40.0	85.0	74.0
57.0	110.0	0.1503	99.60239	40.25	85.0	74.0
61.0	118.0	0.1502	99.53612	40.5	85.0	75.0
63.0	122.0	0.1501	99.46985	40.75	85.0	75.0
65.0	126.0	0.1501	99.46985	41.0	85.0	75.0
68.0	132.0	0.1501	99.46985	41.25	85.0	76.0
72.0	140.0	0.1498	99.27104	41.5	85.0	77.0
77.0	150.0	0.1498	99.27104	41.75	85.0	77.0
81.0	158.0	0.1501	99.46985	42.0	84.0	78.0
86.0	168.0	0.15	99.40358	42.25	84.0	79.0
