05/07/2023 14:07:08
User name: Gabs
Comments: programa 3
Number	time(s)	mass(g)	Relative_mass(%)	Sample_T(C)	PV(C)	SV(C)
1.0	0.0	0.1574	99.93651	22.0	59.0	57.0
2.0	0.001	0.1572	99.80952	22.25	59.0	57.0
4.0	4.001	0.157	99.68254	22.5	60.0	58.0
5.0	6.001	0.1569	99.61905	22.75	62.0	58.0
6.0	8.001	0.1568	99.55556	23.25	63.0	58.0
7.0	10.001	0.1568	99.55556	23.75	65.0	58.0
8.0	12.001	0.1567	99.49206	24.0	66.0	58.0
9.0	14.001	0.1567	99.49206	24.5	68.0	58.0
10.0	16.001	0.1566	99.42857	24.75	69.0	59.0
11.0	18.001	0.1566	99.42857	25.25	71.0	59.0
12.0	20.001	0.1565	99.36508	25.75	72.0	59.0
13.0	22.001	0.1565	99.36508	26.25	74.0	59.0
14.0	24.001	0.1565	99.36508	26.75	75.0	59.0
15.0	26.001	0.1565	99.36508	27.25	76.0	59.0
16.0	28.001	0.1565	99.36508	27.75	78.0	60.0
17.0	30.001	0.1566	99.42857	28.0	79.0	60.0
18.0	32.001	0.1566	99.42857	28.5	81.0	60.0
19.0	34.001	0.1566	99.42857	28.75	81.0	60.0
20.0	36.001	0.1566	99.42857	29.25	82.0	60.0
21.0	38.001	0.1566	99.42857	29.75	82.0	60.0
22.0	40.001	0.1566	99.42857	30.0	84.0	61.0
23.0	42.001	0.1566	99.42857	30.5	84.0	61.0
24.0	44.001	0.1566	99.42857	30.75	85.0	61.0
25.0	46.001	0.1566	99.42857	31.0	85.0	61.0
26.0	48.001	0.1566	99.42857	31.25	85.0	61.0
27.0	50.001	0.1566	99.42857	31.75	86.0	61.0
28.0	52.001	0.1566	99.42857	32.0	86.0	62.0
29.0	54.001	0.1566	99.42857	32.25	86.0	62.0
30.0	56.001	0.1566	99.42857	32.5	88.0	62.0
31.0	58.001	0.1566	99.42857	32.75	88.0	62.0
32.0	60.001	0.1566	99.42857	33.25	88.0	62.0
