05/07/2023 14:07:08
User name: Gabs
Comments: programa 3
Time (min)	Weight (mg)	Deriv. Weight (%/°C)	Relative Mass (%)	Temperature (°C)	Balance Purge Flow (mL/min)	Sample Purge Flow (mL/min)
0.000666667	6.474337	0.07446069	100.0	22.89108	40.01065	60.00839
0.004166667	6.475406	0.07446094	100.0165113431692	22.89168	39.99701	60.00113
0.0125	6.47487	0.07446206	100.00823250318913	22.89421	40.01457	59.97934
0.02083334	6.47257	0.07446228	99.97270763014036	22.89473	39.98047	60.00684
0.02916666	6.471776	0.07446382	99.96044382614004	22.8982	39.98512	60.02136
0.0375	6.47298	0.07446606	99.97904032490122	22.90324	40.01513	60.00022
0.04583334	6.473785	0.07446794	99.9914740304683	22.9075	39.98587	59.99252
0.05416668	6.473145	0.07447046	99.98158884840254	22.91318	39.99458	59.97379
0.0625	6.472711	0.07447284	99.97488545931421	22.9185	39.98987	60.01985
0.07083332	6.47249	0.07411408	99.97147198238213	22.92792	40.0229	59.99049
0.07916666	6.471252	0.07412084	99.95235033332371	22.93539	39.99143	60.00984
0.0875	6.469789	0.07412921	99.92975342494528	22.9446	40.01167	60.00295
0.09583332	6.470399	0.07413649	99.9391752391017	22.95256	40.009	59.97545
0.1041666	6.471914	0.07414844	99.96257531852297	22.96554	39.98369	59.9856
0.1125	6.47187	0.07416259	99.96189571225594	22.98076	40.01011	60.03122
0.1208333	6.47031	0.07417469	99.93780058097067	22.99368	39.9887	59.98512
0.1291666	6.469469	0.07392447	99.92481083391242	23.00715	40.01326	60.00657
0.1375	6.469291	0.07392969	99.92206151765038	23.0242	40.0054	60.02575
0.1458333	6.468764	0.07393488	99.91392168804312	23.04096	39.99353	59.98011
0.1541667	6.468574	0.07394024	99.91098702461734	23.05808	39.98221	60.01568
0.1625	6.469684	0.07394687	99.92813163726262	23.07897	39.98684	59.9983
0.1708334	6.470318	0.07373288	99.9379241457465	23.09742	40.01617	59.98938
0.1791666	6.469034	0.0737278	99.9180919992271	23.11997	40.03404	59.96798
0.1875	6.467302	0.0737226	99.89134022526167	23.14296	39.98412	60.00691
0.1958334	6.467146	0.07371736	99.88893071213315	23.16577	39.97958	60.04468
0.2041667	6.467768	0.07348872	99.8985378734533	23.18979	40.00898	59.98684
0.2125	6.467786	0.07346528	99.8988158941989	23.21716	39.9963	59.99739
0.2208333	6.467742	0.07344046	99.89813628793188	23.24575	40.00719	60.00521
0.2291667	6.467972	0.07315528	99.90168877523674	23.27334	39.9906	60.0015
0.2375	6.467412	0.07311978	99.89303924092923	23.3048	40.00038	59.97451
0.2458334	6.465825	0.07308593	99.86852707852556	23.33436	40.02926	59.99568
0.2541666	6.464994	0.07274036	99.85569178743707	23.36911	39.9803	60.02717
0.2625	6.465839	0.07271684	99.86874331688325	23.40164	40.00303	59.97664
0.2708334	6.466668	0.07236704	99.8815477167778	23.43764	39.9938	60.01688
0.2791667	6.4663	0.07238084	99.87586373709	23.47203	40.00711	60.01374
0.2875	6.46559	0.07211875	99.8648973632358	23.5098	40.00686	60.00484
0.2958333	6.465128	0.07215863	99.85776149743208	23.54944	39.98594	59.98738
0.3041667	6.464412	0.0720125	99.84670244999604	23.58783	39.98496	59.993
0.3125	6.4636	0.0720213	99.8341606252501	23.62735	39.99722	60.013
0.3208333	6.463862	0.07188103	99.83820737165829	23.6691	40.03111	59.99776
0.3291667	6.464902	0.07184884	99.85427079251514	23.71436	39.97476	60.01141
0.3375	6.464944	0.07162849	99.85491950758819	23.75652	40.01614	59.97393
0.3458333	6.463708	0.07159472	99.8358287497237	23.80136	40.00217	59.99436
0.3541666	6.462709	0.07133269	99.82039859834296	23.84724	39.99576	59.99766
0.3625	6.462566	0.07130575	99.81818987797514	23.89594	40.00186	60.00606
0.3708334	6.462549	0.07103269	99.81792730282652	23.94545	39.98347	60.00723
0.3791666	6.4625	0.0710191	99.81717046857462	23.99568	40.02139	60.03198
0.3875	6.462943	0.0707752	99.82401286803575	24.04625	39.97776	59.98115
0.3958334	6.463138	0.07057779	99.8270247594464	24.09673	39.99402	59.98313
0.4041666	6.46231	0.07061352	99.81423580514885	24.1477	40.03267	59.99288
0.4125	6.46097	0.07050046	99.79353870519869	24.20355	40.00269	60.01433
0.4208333	6.460613	0.0704194	99.78802462707765	24.258	39.98117	59.99693
0.4291667	6.46111	0.07038745	99.79570108877557	24.31416	39.99014	59.97616
0.4375	6.461443	0.07020342	99.80084447256917	24.36934	40.01728	60.03536
0.4458333	6.46128	0.06993738	99.7983268402618	24.42566	39.99756	60.002
0.4541667	6.460985	0.06991678	99.79377038915335	24.48568	39.99859	59.99478
0.4625	6.460347	0.06970374	99.78391609828155	24.54444	39.98038	59.9994
0.4708334	6.459387	0.06953874	99.76908832518295	24.60512	40.02428	59.98986
0.4791666	6.458794	0.06955585	99.75992908617516	24.66194	39.9928	60.00805
