28/04/2023 13:21:47
User name: Gabs
Comments: Amostra para Mariana. 5°C/min -> 900°C Programa 3.
Number	time(s)	mass(g)	Relative_mass(%)	Sample_T(C)	PV(C)	SV(C)
1.0	0.0	0.06156	99.91884	26.5	63.0	60.0
2.0	0.0	0.06152	99.85392	27.5	65.0	60.0
3.0	2.0	0.06014	97.61402	29.0	66.0	60.0
4.0	4.0	0.06011	97.56533	37.5	86.0	61.0
5.0	13.872	0.06007	97.50041	39.0	89.0	61.0
6.0	15.872	0.06006	97.48417	40.75	92.0	62.0
7.0	17.872	0.06007	97.50041	42.0	95.0	62.0
8.0	19.872	0.06009	97.53287	43.5	99.0	62.0
9.0	21.872	0.06011	97.56533	44.75	102.0	62.0
10.0	23.872	0.06012	97.58156	46.0	104.0	62.0
11.0	25.872	0.06012	97.58156	47.0	106.0	62.0
12.0	27.872	0.06012	97.58156	48.25	108.0	63.0
13.0	29.872	0.06012	97.58156	49.25	110.0	63.0
14.0	31.872	0.06013	97.59779	50.25	112.0	63.0
15.0	33.872	0.06013	97.59779	51.25	114.0	63.0
16.0	35.872	0.06013	97.59779	52.0	115.0	63.0
17.0	37.872	0.06012	97.58156	52.75	116.0	63.0
18.0	39.872	0.06012	97.58156	53.5	118.0	63.0
19.0	41.872	0.06011	97.56533	54.5	119.0	63.0
20.0	43.872	0.06011	97.56533	55.0	120.0	63.0
21.0	45.872	0.0601	97.5491	55.75	122.0	63.0
22.0	47.872	0.0601	97.5491	56.25	123.0	63.0
23.0	49.872	0.0601	97.5491	57.0	123.0	63.0
24.0	51.872	0.06009	97.53287	57.75	124.0	63.0
25.0	53.872	0.06008	97.51664	58.25	124.0	63.0
26.0	55.872	0.06007	97.50041	58.75	125.0	63.0
27.0	57.872	0.06007	97.50041	59.5	125.0	63.0
28.0	59.872	0.06006	97.48417	60.0	127.0	63.0
29.0	61.872	0.06006	97.48417	60.5	127.0	63.0
30.0	63.872	0.06005	97.46794	61.0	128.0	63.0
31.0	65.872	0.06003	97.43548	61.5	128.0	63.0
32.0	67.872	0.06002	97.41925	62.0	128.0	63.0
33.0	69.872	0.06001	97.40302	62.5	129.0	63.0
34.0	71.872	0.06001	97.40302	63.0	129.0	63.0
35.0	73.872	0.06001	97.40302	63.25	129.0	63.0
36.0	75.873	0.05999	97.37056	63.75	129.0	63.0
37.0	77.873	0.05998	97.35433	64.0	131.0	63.0
38.0	79.874	0.05997	97.33809	64.5	131.0	63.0
39.0	81.875	0.05996	97.32186	65.0	131.0	63.0
40.0	83.875	0.05996	97.32186	65.25	131.0	63.0
41.0	85.875	0.05995	97.30563	65.75	131.0	63.0
42.0	87.875	0.05993	97.27317	66.0	131.0	63.0
43.0	89.875	0.05988	97.19201	66.25	131.0	63.0
44.0	91.875	0.05984	97.12709	66.75	132.0	63.0
45.0	93.875	0.05982	97.09463	67.0	132.0	63.0
46.0	95.875	0.0598	97.06217	67.25	132.0	63.0
47.0	97.875	0.0598	97.06217	67.75	132.0	63.0
48.0	99.875	0.0598	97.06217	68.0	132.0	63.0
49.0	101.875	0.05981	97.0784	68.5	132.0	63.0
51.0	105.875	0.05981	97.0784	69.0	132.0	63.0
52.0	107.875	0.05981	97.0784	69.25	132.0	63.0
54.0	111.875	0.0598	97.06217	69.5	132.0	63.0
55.0	113.875	0.0598	97.06217	69.75	132.0	63.0
56.0	115.875	0.05979	97.04593	70.0	132.0	63.0
57.0	117.875	0.05978	97.0297	70.25	132.0	63.0
58.0	119.875	0.05976	96.99724	70.5	132.0	63.0
59.0	121.875	0.05975	96.98101	71.0	132.0	63.0
61.0	125.875	0.05968	96.86739	71.25	132.0	63.0
62.0	127.875	0.05965	96.8187	71.5	132.0	63.0
63.0	129.875	0.05964	96.80247	71.75	132.0	63.0
65.0	133.875	0.05957	96.68885	72.0	131.0	63.0
66.0	135.875	0.05955	96.65639	72.25	132.0	63.0
68.0	139.875	0.05957	96.68885	72.5	131.0	63.0
69.0	141.875	0.05958	96.70508	72.75	131.0	63.0
71.0	145.875	0.05961	96.75377	73.0	131.0	63.0
73.0	149.875	0.0596	96.73754	73.25	131.0	63.0
74.0	151.875	0.05958	96.70508	73.5	131.0	63.0
77.0	157.875	0.05956	96.67262	73.75	131.0	63.0
79.0	161.875	0.05956	96.67262	74.0	131.0	63.0
82.0	167.875	0.05949	96.559	74.25	129.0	63.0
84.0	171.875	0.05947	96.52654	74.5	129.0	63.0
87.0	177.875	0.05943	96.46161	74.75	129.0	63.0
92.0	187.875	0.05939	96.39669	75.0	128.0	63.0
94.0	191.875	0.05939	96.39669	75.25	128.0	63.0
99.0	201.875	0.05936	96.348	75.5	128.0	63.0
109.0	221.875	0.05929	96.23438	75.75	127.0	63.0
233.0	469.876	0.05877	95.39036	70.75	111.0	67.0
268.0	539.876	0.05873	95.32543	68.75	108.0	73.0
275.0	553.876	0.05871	95.29297	68.25	107.0	74.0
288.0	579.877	0.05872	95.3092	67.5	106.0	76.0
304.0	611.877	0.05873	95.32543	66.5	104.0	79.0
323.0	649.877	0.05874	95.34167	65.5	103.0	82.0
337.0	677.879	0.05875	95.3579	64.75	103.0	84.0
343.0	689.879	0.05878	95.40659	64.25	102.0	85.0
358.0	719.879	0.05879	95.42282	63.5	102.0	88.0
373.0	749.882	0.05884	95.50398	62.75	100.0	90.0
384.0	771.886	0.05885	95.52021	62.25	99.0	92.0
391.0	785.887	0.05886	95.53644	61.75	99.0	93.0
561.0	1125.891	0.05845	94.87096	76.0	123.0	121.0
563.0	1129.891	0.05842	94.82227	76.25	123.0	122.0
566.0	1135.891	0.0584	94.78981	76.5	124.0	122.0
567.0	1137.891	0.05838	94.75734	76.75	124.0	122.0
569.0	1141.891	0.05835	94.70865	77.0	124.0	123.0
571.0	1145.891	0.05835	94.70865	77.25	125.0	123.0
572.0	1147.891	0.05835	94.70865	77.5	125.0	123.0
573.0	1149.891	0.05835	94.70865	77.75	125.0	123.0
